xsec_exp_NP_profiled,xsec_m2s_NP_profiled,xsec_m1s_NP_profiled,xsec_p1s_NP_profiled,xsec_p2s_NP_profiled,xsec_obs_NP_profiled,parameter,channel
2.979651090801890,1.5401197818396200,2.083031692216980,4.5227078125,7.12767387971698,3.7400146226415100,251,bbbb
6.039199321933960,3.193045400943400,4.304341981132080,8.64294260023585,12.159523702830200,8.41366618514151,260,bbbb
4.2625238207547200,2.2457806014150900,3.0298665094339600,6.187059699292450,8.914320017688680,7.741787588443400,280,bbbb
2.5420275353773600,1.2895979658018900,1.7548673054245300,3.9523548349056600,6.262508018867920,3.479437441037740,300,bbbb
0.6518560731132080,0.3451100825471700,0.465316774764151,0.9297935436320760,1.3101062205188700,0.38969599056603800,350,bbbb
0.2666207841981130,0.14015518867924500,0.18932376179245300,0.38586833726415100,0.5526811320754720,0.16267505896226400,400,bbbb
0.09416933962264150,0.049643484669811300,0.06705056014150940,0.13412505896226400,0.18732809551886800,0.08519740566037740,500,bbbb
0.04535734080188680,0.023824321933962300,0.03221777712264150,0.06502370283018870,0.09188416863207550,0.025975147405660400,600,bbbb
0.024554599056603800,0.012877063679245300,0.017428154481132100,0.03520890330188680,0.04973251768867920,0.022124646226415100,700,bbbb
0.015860406839622600,0.00829165683962264,0.011239150943396200,0.022700353773584900,0.0318298054245283,0.012007222877358500,800,bbbb
0.011034404481132100,0.005922435141509440,0.007950884433962260,0.015682222877358500,0.021959375,0.011903125,900,bbbb
0.008103626179245280,0.0043494103773584900,0.00583912146226415,0.011520725235849100,0.016059787735849100,0.006703891509433960,1000,bbbb
0.00613938679245283,0.0032951650943396200,0.004423761792452830,0.008765153301886790,0.012321580188679200,0.014072317216981100,1100,bbbb
0.005200943396226420,0.002791479952830190,0.003747553066037740,0.00745990566037736,0.010580159198113200,0.00940318396226415,1200,bbbb
0.004475176886792450,0.0024019457547169800,0.003224616745283020,0.006516745283018870,0.009492423349056600,0.005904186320754720,1300,bbbb
0.0038478478773584900,0.0020652417452830200,0.0027725825471698100,0.005720430424528300,0.008609787735849060,0.007961762971698110,1400,bbbb
0.00337623820754717,0.0018121167452830200,0.002432753537735850,0.00513001179245283,0.007975029481132080,0.007602712264150940,1500,bbbb
0.0031954599056603800,0.0017150943396226400,0.002302505896226420,0.005029186320754720,0.008337470518867920,0.005420283018867920,1600,bbbb
0.002493366745283020,0.001338266509433960,0.0017966096698113200,0.004068779481132080,0.007168130896226410,0.003474204009433960,1800,bbbb
0.002020666273584910,0.001084551886792450,0.0014560141509434000,0.0033838443396226400,0.0062785082547169800,0.0029729363207547200,2000,bbbb
0.0017522700471698100,0.000940507075471698,0.001262617924528300,0.0029772700471698100,0.00569557783018868,0.003017305424528300,2250,bbbb
0.001479510613207550,0.0007941037735849060,0.001066067216981130,0.0025004716981132100,0.004756191037735850,0.0020597287735849100,2500,bbbb
0.0013467275943396200,0.0007228183962264150,0.0009704009433962260,0.002247317216981130,0.004216244103773590,0.0009874705188679250,2750,bbbb
0.001227564858490570,0.000658873820754717,0.0008845224056603770,0.002019752358490570,0.003740713443396230,0.0012133549528301900,3000,bbbb
