xsec_exp_NP_profiled,xsec_p2s_NP_profiled,xsec_p1s_NP_profiled,xsec_m1s_NP_profiled,xsec_m2s_NP_profiled,xsec_obs_NP_profiled,parameter,channel
0.0296473,0.0256652,0.0116132,0.00828477,0.0137348,0.025264,1000,Combined3
0.0218513,0.0189164,0.00855938,0.00610623,0.0101231,0.0325365,1100,Combined3
0.0185,0.0160152,0.00724665,0.00516973,0.00857057,0.0236512,1200,Combined3
0.0152834,0.0132306,0.00598667,0.00427086,0.0070804,0.0157452,1300,Combined3
0.0119033,0.0103045,0.00466263,0.0033263,0.00551447,0.0102333,1400,Combined3
0.0112172,0.00971059,0.0043939,0.00313459,0.00519664,0.0126219,1500,Combined3
0.00966422,0.00836618,0.00378558,0.00270061,0.00447718,0.0123419,1600,Combined3
0.00773759,0.00669833,0.0030309,0.00216223,0.00358462,0.00634638,1800,Combined3
0.00659599,0.00571006,0.00258372,0.00184321,0.00305575,0.00665066,2000,Combined3
0.0061458,0.00532033,0.00240737,0.00171741,0.00284719,0.00445974,2250,Combined3
0.00617991,0.00534987,0.00242074,0.00172694,0.00286299,0.00370774,2500,Combined3
0.00603032,0.00522037,0.00236214,0.00168514,0.00279369,0.0035305,2750,Combined3
0.00598693,0.00518281,0.00234515,0.00167302,0.00277359,0.00460593,3000,Combined3
